,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
484282,102 Mile Barn Road,Exempt,nan,nan,nan,2011-05-19,53.061153,-2.961974
484283,25 Kenyon Avenue,Exempt,nan,nan,nan,2013-08-02,53.063224,-2.993358
484284,41 Castle Road,Exempt,nan,nan,nan,2014-06-02,53.054217,-3.066914
484285,42 Cardigan Road,Exempt,nan,nan,nan,2014-06-09,53.058096,-2.968784
484286,44 Dean Road,5,5,5,5,2011-06-28,53.055804,-2.970941
484287,46 Bryn Drive,Exempt,nan,nan,nan,2014-06-02,53.055211,-3.066386
484288,5 Berwynfa,Exempt,nan,nan,nan,2013-07-18,53.055166,-3.028652
484289,5 Short Lane,Exempt,nan,nan,nan,2014-06-03,52.9674,-3.065444
484290,59 Sandway Road,Exempt,nan,nan,nan,2014-06-09,53.059181,-2.99516
484291,7 Carlton Drive,Exempt,nan,nan,nan,2013-08-02,53.075844,-3.018905
484292,7 Walnut Street,Exempt,nan,nan,nan,2013-07-17,53.054932,-2.998061
484293,74 Alexandra Road,Exempt,nan,nan,nan,2014-06-09,53.041682,-3.004362
484294,9 Clos Llywelyn,Exempt,nan,nan,nan,2012-02-13,53.0573120117,-3.07057142258
484295,96 Crogen,Exempt,nan,nan,nan,2011-05-19,52.944499,-3.054836
484296,A B C Nursery,5,0,0,0,2015-01-21,53.096213,-3.026421
484297,A Taste Of India,2,15,10,10,2013-03-20,53.055483,-2.981482
484298,Aballu Artisan Chocolatier,5,5,0,0,2013-10-03,53.108353,-2.951226
484299,Abbeyfield Day Nursery,4,5,0,10,2014-10-09,53.054134,-2.968427
484300,Abbeyfield Society,5,0,0,5,2013-12-16,53.039502,-2.98883
484301,Acorn Playgroup,Exempt,nan,nan,nan,2014-06-09,53.055264,-2.995995
484302,Acrefair Pizza & Kebab,5,0,5,5,2013-11-21,52.980046,-3.076747
484303,Acrefair Primary School,5,0,0,5,2014-02-06,52.980077,-3.078193
