,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
452703,"""A"" Squadron, Queen's Own Yeomanry",Exempt,nan,nan,nan,2010-12-16,55.457631,-4.627774
452704,1060 Club,Pass,nan,nan,nan,2011-08-11,55.500601,-4.602813
452705,163 Takeaway,Pass,nan,nan,nan,2014-10-09,55.469722,-4.607154
452706,86 Social Club,Pass,nan,nan,nan,2008-01-10,55.54624,-4.659513
452707,88 Chinese Take Away,Pass,nan,nan,nan,2013-04-24,55.458459,-4.627307
452708,99P Stores,Pass,nan,nan,nan,2014-01-24,55.459717,-4.626473
452709,A Picken & Son,Pass,nan,nan,nan,2014-04-03,55.45947,-4.629193
452710,A Picken & Son,Pass,nan,nan,nan,2014-10-20,55.466982,-4.63058
452711,A Taste Of Sweetness,Pass,nan,nan,nan,2012-11-21,55.457631,-4.627774
452712,Abbotsford Hotel,Pass,nan,nan,nan,2012-11-22,55.448684,-4.630421
452713,Aberley House,Pass,nan,nan,nan,2014-11-05,55.464402,-4.637686
452714,Aberlour Child Care Trust,Exempt,nan,nan,nan,2011-05-11,55.485176,-4.596034
452715,Aberlour Child Care Trust,Pass,nan,nan,nan,2013-11-01,55.485301,-4.608753
452716,Aberlour Out Of School Club,Pass,nan,nan,nan,2014-05-20,55.427575,-4.565838
452717,Ace Cafe,Pass,nan,nan,nan,2014-08-11,55.489419,-4.61417
452718,Acorn Holding,Exempt,nan,nan,nan,2011-04-13,55.563052,-4.489638
452719,Action For Children,Exempt,nan,nan,nan,2007-10-08,55.467917,-4.616322
452720,Adamcroft,Exempt,nan,nan,nan,2011-06-16,55.520264,-4.417573
452721,Adamhill Farm,Exempt,nan,nan,nan,2012-08-01,55.543603,-4.489106
452722,Adamton Country House Hotel,Awaiting Inspection,nan,nan,nan,2014-06-24,55.516479,-4.575394
452723,Afton Villa,Pass,nan,nan,nan,2013-04-17,55.467917,-4.616322
452724,Age Concern Girvan,Pass,nan,nan,nan,2014-08-15,55.237937,-4.856579
452725,Ailsa Hospital,Pass,nan,nan,nan,2013-07-19,55.434182,-4.59311
452726,Ailsa Room Kitchen,Pass and Eat Safe,nan,nan,nan,2011-08-31,55.354703,-4.789345
452727,Ainslie Manor Nursing Home,Pass,nan,nan,nan,2013-12-04,55.226913,-4.856323
452728,Airlie House,Pass,nan,nan,nan,2013-11-12,55.450389,-4.636829
452729,Airside Food Village,Pass and Eat Safe,nan,nan,nan,2014-12-15,55.509281,-4.61053
452730,Alan's Ices,Pass,nan,nan,nan,2014-04-17,55.457631,-4.627774
452731,Aldi Stores Limited,Pass,nan,nan,nan,2011-03-11,55.486399,-4.617105
452732,Alex J Sharpe,Pass,nan,nan,nan,2014-05-28,55.447835,-4.523553
452733,Alison Duffin,Pass,nan,nan,nan,2013-04-30,55.457631,-4.627774
452734,Alison Patrick (Childminder),Pass,nan,nan,nan,2012-05-17,55.457631,-4.627774
452735,"Alister Ross   Son , Street Trader",Pass,nan,nan,nan,2009-07-24,55.457631,-4.627774
452736,All Out Catering (Ayr Rugby Club),Pass,nan,nan,nan,2012-02-22,55.425826,-4.634543
452737,Alliance Pharmacy,Exempt,nan,nan,nan,2008-05-19,55.499933,-4.611352
452738,Alliance Pharmacy,Exempt,nan,nan,nan,2008-09-10,55.241126,-4.85514
452739,Alliance Pharmacy,Exempt,nan,nan,nan,2008-06-03,55.472438,-4.595259
452740,Alliance Pharmacy,Exempt,nan,nan,nan,2008-05-12,55.498456,-4.611523
452741,Alliance Pharmacy,Exempt,nan,nan,nan,2008-05-12,55.471758,-4.626673
452742,Allison Somerville (Childminder),Pass,nan,nan,nan,2014-07-01,55.489336,-4.612613
452743,Alloway After School Club,Pass,nan,nan,nan,2012-05-28,55.427697,-4.637418
452744,Alloway Nursery Class,Pass,nan,nan,nan,2008-09-03,55.431319,-4.631605
452745,Alloway Parish Church Hall Kitchen,Pass,nan,nan,nan,2012-11-29,55.427697,-4.637418
452746,Alloway Primary,Pass,nan,nan,nan,2013-11-04,55.431319,-4.631605
452747,Alloway Rooms,Pass,nan,nan,nan,2014-08-13,55.45947,-4.629193
452748,Almont Farm,Exempt,nan,nan,nan,2012-03-28,55.145462,-4.85723
452749,Alphabet Yard,Pass,nan,nan,nan,2014-07-23,55.464793,-4.632063
