,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
158553,1761,5,5,5,5,2013-10-03,54.66396,-3.360672
158554,23 Wood Street,4,0,10,5,2010-02-16,54.715174,-3.498363
158555,4 Park Square,Exempt,nan,nan,nan,2013-05-22,54.822672,-3.162369
158556,A Different Taste,5,5,5,5,2013-09-27,54.600679,-3.134966
158557,A F Norman Chemists,Exempt,nan,nan,nan,2014-01-24,54.714196,-3.498916
158558,Abacourt House,5,5,0,0,2014-05-27,54.602218,-3.138539
158559,Abbeyfield Society,5,0,0,5,2014-03-17,,
158560,Abbeyfield Wigton Society Ltd,5,5,5,5,2013-12-03,54.820932,-3.16014
158561,Abbeytown Assembly Room,Exempt,nan,nan,nan,2014-03-30,54.844807,-3.289617
158562,Abraham's,5,5,0,5,2013-09-18,54.599038,-3.136484
158563,Acorn House Hotel,5,5,5,0,2012-08-02,54.598191,-3.131925
158564,Age Concern,5,5,5,5,2012-03-23,54.713803,-3.500175
158565,Age UK West Cumbria,4,10,5,5,2014-03-03,54.63108,-3.559282
158566,Age UK West Cumbria Day Centre,5,5,5,5,2014-03-05,54.630425,-3.543053
158567,Agra Spice World,4,10,5,5,2014-10-23,54.64205,-3.542734
158568,Aikton Arms,5,5,5,0,2014-07-03,54.8762702942,-3.13392519951
158569,Aldi,5,5,0,0,2014-09-09,54.642248,-3.563708
158570,Aldi,5,0,0,0,2013-05-14,54.663139,-3.375343
158571,All Saints Church,Exempt,nan,nan,nan,2014-03-30,54.662623,-3.359728
158572,All Saints Primary School,5,0,0,5,2014-01-27,54.663756,-3.351627
158573,Allerdale House,5,0,5,5,2012-02-10,54.598457,-3.131283
158574,Allonby Tearoom & Gift Shop,4,10,0,5,2014-10-16,54.773332,-3.429138
158575,Al's Kitchen,4,10,5,5,2014-06-20,54.639377,-3.547932
158576,Alternative Kebabs,4,10,5,5,2013-09-09,54.824182,-3.16042
158577,Alternative Takeaway,4,5,5,10,2014-11-10,54.663967,-3.363277
158578,Amathea Care Centre,3,10,5,10,2014-03-04,54.638513,-3.540291
158579,Amcor Flexibles Cumbria,Exempt,nan,nan,nan,2013-12-10,54.622511,-3.553921
158580,Amy Beverley,5,5,0,0,2014-04-30,,
158581,Anderville Guest House,4,10,5,5,2012-04-21,54.600088,-3.131792
158582,Ann Parry,5,5,5,5,2014-05-21,,
158583,Annabell's Tearoom,5,0,5,5,2013-07-09,54.714196,-3.498916
158584,Annette Gibbons Cookery and Cumbria,5,5,5,5,2015-01-20,,
158585,Annie's Pantry,4,5,10,5,2013-10-27,54.594708,-3.12378
158586,Appletree House,5,0,5,5,2013-04-24,54.768525,-3.228867
