,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
429165,150-152,Awaiting Inspection,nan,nan,nan,,56.007701,-3.78477
429166,2 in One Chinese Chippy,Pass,nan,nan,nan,2014-12-18,56.022553,-3.916053
429167,26,Pass,nan,nan,nan,2013-11-20,55.973396,-3.653018
429168,32,Exempt,nan,nan,nan,2012-10-23,55.996324,-3.88323
429169,35,Improvement Required,nan,nan,nan,2014-08-12,56.00182,-3.885261
429170,A & J Newsagent,Pass,nan,nan,nan,2014-12-17,56.017339,-3.608114
429171,A & N Brothers,Improvement Required,nan,nan,nan,2013-09-30,56.010621,-3.606407
429172,A & S Corkill (Butcher),Pass,nan,nan,nan,2013-09-03,56.007495,-3.906598
429173,A & Z Store,Pass,nan,nan,nan,2014-08-06,56.02315,-3.915826
429174,A and O Licensed Grocers,Pass,nan,nan,nan,2014-05-09,55.997315,-3.828741
429175,A Funky Muffin,Pass,nan,nan,nan,2013-10-09,,
429176,A Taylor Made Cake,Pass,nan,nan,nan,2013-09-10,,
429177,A Wood & Partners,Awaiting Inspection,nan,nan,nan,,55.996546,-3.644834
429178,A.M. Quality Catering (Shields),Pass,nan,nan,nan,2014-11-11,,
429179,A.T. Foods Catering,Pass,nan,nan,nan,2013-10-29,,
429180,Abbeyfield Society,Pass,nan,nan,nan,2014-03-28,56.002491,-3.772181
429181,Abbotsgrange Church,Awaiting Inspection,nan,nan,nan,,56.015275,-3.720404
429182,Abbotsinch Pub & Dining,Pass,nan,nan,nan,2014-12-30,56.016074,-3.706226
429183,ABC Chippie,Awaiting Inspection,nan,nan,nan,,56.009055,-3.710792
429184,ABC Events,Improvement Required,nan,nan,nan,2014-06-20,56.00925,-3.765177
429185,Absolutely Sweet,Awaiting Inspection,nan,nan,nan,,55.998309,-3.783632
429186,Absolutely Sweet Cupcake Bar,Pass,nan,nan,nan,2014-01-16,56.017211,-3.606889
429187,Action For Children,Pass,nan,nan,nan,2014-07-22,56.003896,-3.820039
429188,Acute Assessment Unit Kitchen,Awaiting Inspection,nan,nan,nan,2013-07-19,56.025558,-3.848114
429189,AD08NSF Fotheringhams Soft Ices,Pass,nan,nan,nan,2014-04-28,56.009606,-3.788499
429190,ADA Polish Food Store,Pass,nan,nan,nan,2014-01-20,56.017675,-3.609154
429191,Adrian Bowling Club,Pass,nan,nan,nan,2014-05-27,55.997738,-3.786412
429192,AFC Fast Food Ltd,Pass,nan,nan,nan,2014-02-19,56.005653,-3.784115
429193,Age Concern (Larbert),Exempt,nan,nan,nan,2013-04-11,56.025313,-3.822314
429194,Airth Bakers,Pass,nan,nan,nan,2014-12-12,56.067993,-3.76958
429195,Airth Castle Hotel and Spa Resort,Pass,nan,nan,nan,2014-02-06,56.061959,-3.773624
429196,Airth Primary School,Pass,nan,nan,nan,2014-09-26,56.067818,-3.767387
429197,Airth Primary School Nursery,Pass,nan,nan,nan,2014-10-08,56.067818,-3.767387
429198,Airth Welfare Hall,Pass,nan,nan,nan,2014-09-26,,
429199,Airthrey Care Nursing Home,Pass,nan,nan,nan,2014-04-02,56.06966,-3.768002
429200,Ais 003 Filling Station,Pass,nan,nan,nan,2013-12-13,56.003416,-3.768487
429201,Aitkens Bar,Pass,nan,nan,nan,2014-06-18,55.999881,-3.783063
429202,Alana's Cupcakes,Pass,nan,nan,nan,2013-02-14,,
429203,Alanmart Day Centre,Pass,nan,nan,nan,2013-10-22,56.030376,-3.808623
429204,Alchemy Inns Ltd,Awaiting Inspection,nan,nan,nan,,56.013136,-3.705519
429205,Alder's Traditional Tea Room,Pass,nan,nan,nan,2014-05-08,55.997687,-3.783106
429206,Aldi Foodstore Ltd,Exempt,nan,nan,nan,2014-03-21,56.005721,-3.818761
429207,Alex Graham Baker Catering Ltd,Improvement Required,nan,nan,nan,2014-12-02,56.003503,-3.784256
429208,Ali's Licensed Grocers,Pass,nan,nan,nan,2013-08-13,56.018936,-3.914639
429209,Allandale Bowling Club,Pass,nan,nan,nan,2014-10-21,55.98627,-3.925576
429210,Allandale Stores,Awaiting Inspection,nan,nan,nan,,55.98627,-3.925576
429211,Alqain Newsagents,Pass,nan,nan,nan,2014-09-04,56.017419,-3.907569
429212,Alzheimer Scotland,Pass,nan,nan,nan,2014-03-24,56.028681,-3.807163
429213,Ambulatory Care Kitchen,Exempt,nan,nan,nan,2013-11-20,56.025558,-3.848114
429214,Amodo Mio,Pass,nan,nan,nan,2014-06-23,55.999881,-3.783063
