,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
31044,{c.a.k.e},AwaitingInspection,nan,nan,nan,,,
31045,19 - The Coffee House,5,0,0,0,2014-03-18,52.21592,-0.065443
31046,1st Step Day Nursery,5,5,0,5,2014-11-04,52.194742,0.264601
31047,A and B Catering,Exempt,nan,nan,nan,2014-01-06,52.150972,0.140713
31048,A Chew n' a Brew,4,10,5,5,2014-11-28,52.289311,0.173288
31049,A Fond Farewell,5,5,0,5,2014-10-28,,
31050,Abbeyfield Girton,5,5,0,0,2012-10-04,52.230337,0.089938
31051,Abington Social Club,4,10,5,5,2014-05-22,52.11175,0.230379
31052,Abington Village Institute,5,5,5,5,2012-11-27,52.11419,0.23589
31053,ABM Catering Ltd,5,5,5,5,2014-12-17,52.217993,-0.061356
31054,Acorn Garage,5,0,0,0,2015-01-22,52.121934,0.237695
31055,ADM Direct UK Ltd,Exempt,nan,nan,nan,2010-07-28,52.187411,0.037437
31056,Africfood,4,0,5,10,2011-08-22,,
31057,All About Kids,AwaitingInspection,nan,nan,nan,,,
31058,All Saints Church,5,5,5,5,2014-11-24,52.143531,0.121064
31059,Allsorts Tea and Gifts,5,5,0,0,2013-06-26,52.311748,0.050448
31060,Amanda's Sandwich Bar/Cafe,5,0,5,0,2014-01-23,52.183543,0.221813
31061,Ambassador Lodge,5,5,5,5,2012-12-07,,
31062,Amgen Ltd,5,0,0,5,2013-11-20,52.236375,0.141819
31063,Amino Communications,5,5,0,0,2013-05-02,52.273611,-0.007115
31064,Amiraz T/A Spice Box,5,5,5,5,2014-10-07,,
31065,Anglia Farm Shop,4,10,5,0,2014-01-28,52.226778,0.095379
31066,Aris Inn Hotel,5,5,5,5,2015-01-07,52.066526,0.053888
31067,Aristocaters,5,0,0,0,2014-03-20,52.128709,0.180862
31068,Arrington Nursery,5,5,5,5,2015-02-06,52.131056,-0.059946
31069,Artist House Cambridge,5,0,0,5,2013-07-05,52.228622,0.087265
31070,Arty Farty Tea Party (1),AwaitingInspection,nan,nan,nan,,52.258362,0.107285
31071,Arty Farty Tea Party (2),AwaitingInspection,nan,nan,nan,,,
31072,Aspect Cuisine Ltd,5,0,0,5,2014-05-23,,
31073,Astex Pharmaceuticals,5,0,0,0,2014-02-03,52.236701,0.140238
31074,Astu Hotels 3 Ltd,5,0,0,0,2012-12-17,52.232065,0.146956
31075,Auntie Allie's,5,5,5,5,2013-05-23,,
31076,Aussie Bird,AwaitingInspection,nan,nan,nan,,52.142772,0.089021
31077,Avondale,5,0,0,5,2012-08-22,,
31078,Azahar,5,0,0,5,2014-07-30,,
31079,B Searle & Sons,5,5,0,0,2014-03-28,52.123175,0.169387
31080,Babraham Children's Club,4,5,5,10,2014-10-16,52.130147,0.208416
31081,Babraham Cofe (Vc) Primary School,5,5,0,0,2014-11-04,52.130147,0.208416
31082,Bake Well Tarts,5,0,0,5,2012-03-07,,
31083,Balaban Kebabs,1,5,15,20,2014-02-13,,
31084,Balsham Stores & Post Office Ltd.,3,5,10,10,2014-03-31,52.131773,0.317194
31085,Bar Hill Community Primary School,5,5,0,0,2013-06-06,52.253276,0.021745
31086,Bar Hill Kebabs,5,5,0,0,2015-01-14,52.249465,0.016927
31087,Bar Hill Sports And Social Club,5,0,5,0,2014-11-25,52.248934,0.015907
31088,Bar Hill Village Hall,5,0,0,0,2010-05-04,52.248934,0.015907
31089,Bar Hill Village Management Committe,Exempt,nan,nan,nan,2006-01-19,52.248934,0.015907
31090,Barat Timor Rumal,4,5,5,10,2012-07-04,,
31091,Barkers Bakers,5,5,0,5,2012-12-06,52.252415,0.105451
31092,Barkers Bakers,5,5,0,0,2014-03-06,52.286969,0.12508
31093,Barkers Bros Butchers Ltd,5,5,5,5,2014-01-06,52.148487,0.133446
31094,Barley Mow,4,5,5,10,2014-10-30,52.252415,0.105451
31095,Barrington Cofe Vc Primary School,5,0,5,0,2014-04-02,52.131421,0.039367
31096,Barrington Stores,4,10,0,5,2015-01-06,52.128055,0.035371
31097,Barton Cofe Va Primary School,5,5,0,0,2014-12-16,52.182158,0.057252
31098,Bassingbourn Primary School,5,5,0,0,2012-12-10,52.076838,-0.060108
31099,Bassingbourn Village College,4,5,5,10,2012-12-19,52.076405,-0.058361
31100,Baxter Storey,5,0,5,5,2014-01-22,52.100661,0.139267
31101,Baxterstorey,5,5,0,0,2014-05-28,52.132519,0.205655
31102,BaxterStorey,5,0,0,0,2014-09-17,52.117121,0.225943
31103,Bayer Crop Science,5,0,0,5,2014-12-19,52.23524,0.141925
31104,BBQ Shack,5,0,0,0,2015-01-21,,
31105,Be Waffle,5,5,5,5,2012-01-26,,
31106,Beach Babies,5,5,0,0,2013-11-15,52.269042,0.16208
31107,Beaumonts Butchers,5,5,0,0,2014-03-21,52.183543,0.221813
31108,Beck Brook Farm,5,0,0,5,2012-08-20,,
31109,Beech Farm Bed & Breakfast,4,5,5,10,2012-05-23,,
31110,Bernard's,4,5,5,10,2015-01-07,52.128709,0.180862
31111,Beryl Patricia Flack,5,5,5,5,2011-08-30,,
31112,Bewick Bridge CP School,5,5,0,0,2014-01-23,52.190136,0.1822
31113,BH Home Bakery,4,5,10,5,2010-09-27,,
31114,Big Bubble Food,3,10,10,10,2014-04-10,,
31115,Black Horse,4,5,5,10,2011-09-22,52.292326,0.086872
31116,Blue Apple,5,0,5,0,2014-01-20,52.117121,0.225943
31117,Bluebell Day Nursery,5,5,0,0,2015-01-29,52.219444,-0.138606
31118,Boardwalk Conference Centre,4,5,10,5,2013-11-15,52.289311,0.173288
