,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
121202,O12 Bar And Grill,The Q Building,108 - 110 The Grove,Stratford,012 Bar And Grill,Pub/bar/nightclub,7843,5,,641136,5,,51.54423200000000,77640/0108/2/110,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.00403400000000,E15 1NS,2014-04-24,fhrs_4_en-GB,4,,FHRS,10
121203,401 Barking Road,East Ham,London,,7 Joint,Takeaway/sandwich shop,7844,20,,718164,20,,51.53336600000000,14/01078/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.05510400000000,E6 2JT,2014-11-05,fhrs_1_en-GB,1,,FHRS,10
121204,77 Wellington Road,Stratford,London,,7 Till 11 Uk Ltd,Retailers - other,4613,10,,680560,10,,51.55015600000000,13/00452/COMM,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01778100000000,E7 9BY,2014-06-05,fhrs_3_en-GB,3,,FHRS,10
121205,Units 43 And 44,West Mall,The Mall,Stratford,99P Stores Ltd,Retailers - other,4613,10,,640286,10,,51.54183500000000,09/00046/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,-0.00044100000000,E15 1XE,2014-11-11,fhrs_3_en-GB,3,,FHRS,10
121206,27 - 29 Plashet Grove,East Ham,London,,A - Z Food Co,Retailers - other,4613,10,,641044,10,,51.53729000000000,73970/0027/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03637600000000,E6 1AD,2014-01-24,fhrs_2_en-GB,2,,FHRS,15
121207,345 Barking Road,East Ham,London,,A & A Chaudhary Food Centre,Retailers - other,4613,10,,640537,10,,51.53303000000000,12/00042/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.05272400000000,E6 1LA,2013-07-12,fhrs_3_en-GB,3,,FHRS,10
121208,A S Mini Market,376 Katherine Road,Forest Gate,London,A And S Mini Market,Retailers - other,4613,10,,640995,10,,51.54180300000000,69790/0376/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03800500000000,E7 8NW,2012-06-26,fhrs_3_en-GB,3,,FHRS,10
121209,168 Plashet Road,Plaistow,London,,A1 Halal Meat & Poultry,Retailers - other,4613,10,,641050,10,,51.53747400000000,73980/0168/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03302400000000,E13 0QT,2014-02-05,fhrs_3_en-GB,3,,FHRS,10
121210,A 1 Kebabish,684 Romford Road,Manor Park,London,A1 Kebabish Grill Ltd,Takeaway/sandwich shop,7844,5,,641085,10,,51.55185000000000,74740/0684/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.05126300000000,E12 5AJ,2012-07-23,fhrs_4_en-GB,4,,FHRS,5
121211,2 Leywick Street,Stratford,London,,Abbey Road Fish Bar,Takeaway/sandwich shop,7844,10,,667125,15,,51.53215600000000,14/00253/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.00657500000000,E15 3DD,2014-03-13,fhrs_2_en-GB,2,,FHRS,15
121212,155 Barking Road,Canning Town,London,,Abigails Cafe,Restaurant/Cafe/Canteen,1,5,,640729,5,,51.51791400000000,13/00898/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01220400000000,E16 4HQ,2013-06-07,fhrs_5_en-GB,5,,FHRS,5
121213,103 The Shopping Hall,Myrtle Road,East Ham,London,Abundant Grace,Retailers - other,4613,10,,640641,10,,51.53442300000000,12/00673/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.05177700000000,E6 1HY,2013-04-08,fhrs_3_en-GB,3,,FHRS,10
121214,Q133,Queens Market,Upton Park,London,ABZ Foods (Stall),Retailers - other,4613,10,,640481,10,,51.53447200000000,11/00448/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03398600000000,E13 9BA,2013-04-25,fhrs_3_en-GB,3,,FHRS,10
121215,Ascot Estate Community Centre,Hermit Road,Canning Town,London,Active Warm Centre  Within  Ascot Community Centre,Restaurant/Cafe/Canteen,1,10,,640947,10,,51.51866200000000,68920/2004/2/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01262600000000,E16 4HP,2013-04-17,fhrs_3_en-GB,3,,FHRS,5
121216,89 Green Street,Forest Gate,London,,Afghan Kebab House,Takeaway/sandwich shop,7844,20,,640575,15,,51.54458400000000,12/00231/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03217300000000,E7 8JF,2014-06-17,fhrs_1_en-GB,1,,FHRS,10
121217,61 Vicarage Lane,Stratford,London,,Ahmeds Perfect Fried Chicken,Takeaway/sandwich shop,7844,5,,640229,5,,51.54065200000000,07/00259/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01090000000000,E15 4HG,2014-03-04,fhrs_5_en-GB,5,,FHRS,5
121218,Unit E2,Westgate Apartments,14 Western Gateway,Canning Town,Airline Cafe And Diner,Restaurant/Cafe/Canteen,1,10,,640614,15,,51.50823900000000,12/00452/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.02156300000000,E16 1FD,2014-01-27,fhrs_2_en-GB,2,,FHRS,10
121219,51 - 53 Upton Lane,Forest Gate,London,,Akbar's,Retailers - other,4613,5,,640767,5,,51.54501000000000,13/01572/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.02627900000000,E7 9PA,2014-01-21,fhrs_5_en-GB,5,,FHRS,0
121220,55 Field Road,Forest Gate,London,,Al Dubbagh Takeaway,Restaurant/Cafe/Canteen,1,20,,705164,10,,51.55016300000000,14/00813/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01998800000000,E7 9DW,2014-09-16,fhrs_1_en-GB,1,,FHRS,10
121221,435 Barking Road,East Ham,London,,Al Farooq Kebabish,Takeaway/sandwich shop,7844,10,,640849,10,,51.53354300000000,61150/0435/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.05679900000000,E6 2JX,2014-09-04,fhrs_3_en-GB,3,,FHRS,10
121222,84 Upton Lane,Forest Gate,London,,Al Farooq Kebabish,Takeaway/sandwich shop,7844,5,,640297,10,,51.54296600000000,09/00113/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.02588500000000,E7 9LW,2014-05-29,fhrs_3_en-GB,3,,FHRS,10
121223,Al Farooq Kebabish,395 Green Street,Upton Park,London,Al Farooq Kebabish T/A Hamzah Limited,Takeaway/sandwich shop,7844,20,,640920,15,,51.53437300000000,68140/0395/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03607200000000,E13 9AU,2014-08-12,fhrs_1_en-GB,1,,FHRS,15
121224,31 Upton Lane,Forest Gate,London,,Al Noor Fresh Fruit And Veg Store,Retailers - other,4613,5,,640706,10,,51.54501000000000,13/00692/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.02627900000000,E7 9PA,2013-06-11,fhrs_3_en-GB,3,,FHRS,10
121225,312 Barking Road,East Ham,London,,Al Rehman Halal Meat Ltd,Retailers - other,4613,5,,640712,10,,51.53250900000000,13/00726/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.05270000000000,E6 3BA,2013-10-04,fhrs_4_en-GB,4,,FHRS,5
121226,Ala Pizza,28 Upton Lane,Forest Gate,London,A'la Pizza,Takeaway/sandwich shop,7844,10,,641160,10,,51.54503700000000,78210/0028/0/000,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.02574600000000,E7 9LN,2013-02-06,fhrs_3_en-GB,3,,FHRS,10
121227,148 Green Street,Forest Gate,London,,Alaudin Sweet Centre,Restaurant/Cafe/Canteen,1,5,,640349,0,,51.54295500000000,10/00165/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03225900000000,E7 8JQ,2012-06-26,fhrs_5_en-GB,5,,FHRS,5
121228,239 Barking Road,Plaistow,London,,Albina,Restaurant/Cafe/Canteen,1,10,,640270,10,,51.52035400000000,08/00407/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01777500000000,E13 8EQ,2013-11-27,fhrs_3_en-GB,3,,FHRS,10
121229,63 Barking Road,Canning Town,London,,Alenka Shop Ltd,Retailers - other,4613,10,,640581,10,,51.51647400000000,12/00252/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.00912800000000,E16 4HB,2012-04-24,fhrs_3_en-GB,3,,FHRS,10
121230,Al Firdous Takeaway,187 Plashet Road,Plaistow,London,Al-Firdous Restaurant And Takeaway,Restaurant/Cafe/Canteen,1,20,,640308,10,,51.53001800000000,09/00176/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.01797100000000,E13 0DZ,2014-05-28,fhrs_1_en-GB,1,,FHRS,15
121231,344 Green Street,Upton Park,London,,Ali And Sons Halal Meat & Poultry,Retailers - other,4613,10,,640301,15,,51.53663800000000,09/00127/FOOD,525,,Newham,http://ww2.newham.gov.uk/Pages/index.aspx,0.03453000000000,E13 9AP,2013-08-14,fhrs_2_en-GB,2,,FHRS,10
