,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
406387,#fed,5,5,5,5,2015-01-14,54.423477,-6.441326
406388,180 DEGREES,5,5,0,0,2014-09-23,54.421881,-6.446471
406389,4TH EARL/THE PORT,4,10,0,10,2014-02-26,54.419815,-6.446487
406390,727,3,10,5,10,2014-03-25,54.426108,-6.460826
406391,A GREENE - MACE,4,5,0,10,2013-08-08,54.455785,-6.345374
406392,A J POWER LIMITED,5,0,5,0,2014-05-29,54.458,-6.417515
406393,A MCKEOWN & SONS,4,5,0,10,2012-09-04,,
406394,A P & E MCQUADE AND SONS,4,0,5,10,2014-04-08,54.472759,-6.331884
406395,A PLAICE IN THE COUNTRY,5,5,0,0,2014-10-31,54.450911,-6.512994
406396,ABBEYFIELD HOUSE,Exempt,nan,nan,nan,2014-01-14,54.458093,-6.339405
406397,ABP LIMITED - WORKS CANTEEN,5,5,0,5,2014-10-22,,
406398,Addies Fudge And Fancies,5,0,0,5,2014-07-04,,
406399,Aghagallon Preschool,5,0,0,5,2014-10-21,,
406400,AG'S,5,5,5,0,2014-05-21,54.466765,-6.262919
406401,AHMED KEBAB,4,5,5,10,2014-09-11,54.463079,-6.33746
406402,Al Pacinos,5,5,0,5,2014-10-28,54.423254,-6.419317
406403,ALI'S,3,10,5,10,2013-11-28,54.461461,-6.329568
406404,ALMAC GROUP UK - SODEXO LTD,5,0,0,0,2014-05-29,54.443793,-6.424908
406405,AMIGOS,5,5,5,5,2013-07-30,54.464337,-6.334864
406406,AMINAS TANDOORI,3,10,10,10,2013-08-13,54.464337,-6.334864
406407,ANDERSONS PHARMACY,Exempt,nan,nan,nan,2013-11-18,54.422459,-6.427251
406408,ANDERSON'S PHARMACY,Exempt,nan,nan,nan,2013-11-05,54.419478,-6.443357
406409,Annaghmore Mushrooms Staff Canteen,5,5,0,5,2014-10-14,54.474974,-6.369082
406410,Annie's Delights,5,0,0,5,2013-08-28,,
406411,ANTHONY GREENE - POST OFFICE,4,5,0,10,2013-08-07,54.457896,-6.34535
406412,AROUND A POUND,5,5,0,0,2012-09-07,54.46174,-6.331592
406413,ASDA STORES LTD,5,0,0,0,2013-01-30,54.426912,-6.436727
406414,ASHBURN HOTEL,5,5,5,0,2014-08-14,54.466207,-6.33758
406415,AUGHNACLOY HOUSE,5,5,5,0,2014-10-20,54.455283,-6.340259
406416,AVONDALE FOODS CANTEEN,5,5,0,5,2014-08-15,54.425225,-6.341228
406417,B & M BARGAINS,5,5,0,5,2013-01-07,54.449405,-6.38991
406418,B & M RETAIL,5,0,5,0,2015-02-11,54.422684,-6.446055
406419,B.P. FILLING STATION CAFE,4,10,0,10,2014-07-17,54.435278,-6.416835
406420,BADA BING PIZZA,5,5,0,0,2014-03-26,54.421914,-6.448334
406421,BALLYDOUGAN POTTERY RESTAURANT,5,5,0,0,2012-02-20,54.410742,-6.347789
406422,BALLYORAN PRIMARY SCHOOL,5,0,0,0,2014-12-03,54.432812,-6.452499
406423,Bamboo,4,10,5,0,2013-07-31,54.435278,-6.416835
406424,BANNVIEW BED AND BREAKFAST,5,0,0,5,2014-11-14,54.420984,-6.440296
406425,Barbara's Cakes,Exempt,nan,nan,nan,2014-06-13,,
406426,Bargain Buys,5,0,0,0,2012-10-10,54.44963,-6.38651
406427,BARTS KEBABS,4,10,5,5,2014-05-15,54.423461,-6.444254
406428,BAYSHORE SPORTS AND SOCIAL CLUB,4,5,0,10,2014-10-08,54.502766,-6.441442
406429,Bbq Kebab House,3,10,10,10,2014-03-26,54.463079,-6.33746
406430,Bellevue Cellars,Exempt,nan,nan,nan,2014-07-07,54.470397,-6.325409
406431,BELLEVUE SERVICE STATION,5,5,5,5,2014-04-11,54.470397,-6.325409
406432,BELVEDERE RESIDENTIAL HOME,5,5,0,5,2013-10-21,54.453533,-6.323492
406433,BENGAL TANDOORI RESTAURANT,4,5,5,10,2013-08-01,54.426063,-6.437745
406434,BENNETTS BAR,4,10,5,0,2014-02-14,54.421726,-6.446985
406435,Big Mama,3,10,10,10,2012-08-22,54.463079,-6.33746
406436,BIRCHES GUEST LODGE,5,5,5,5,2014-02-14,54.482634,-6.535728
406437,BIRCHES POST OFFICE/NEARBUY SHOP,4,10,5,5,2014-12-15,54.488767,-6.551141
406438,BIRCHES PRIMARY SCHOOL,5,0,0,0,2013-05-30,54.487601,-6.549068
406439,BLEARY PRIMARY SCHOOL,5,0,0,5,2014-05-09,54.425225,-6.341228
406440,BLEARY PRIMARY SCHOOL - BUSY BEES,5,5,0,0,2014-04-30,54.425225,-6.341228
406441,BLEARY SHOP TODAY'S LOCAL,4,10,5,5,2014-02-20,54.424429,-6.349349
406442,Bloosom Surestart - Hart Memorial School,5,5,0,0,2014-05-21,54.42377,-6.457185
406443,BLOSSOM SURE START,5,0,0,0,2014-03-21,54.425714,-6.4448
406444,BLOSSOM SURESTART,5,5,0,5,2012-10-12,54.432812,-6.452499
406445,BLUESTONE UNIT CRAIGAVON AREA HOSPITAL,5,5,0,0,2014-05-20,,
406446,BOCOMBRA CHILDREN'S CENTRE,5,0,0,5,2015-01-21,54.430533,-6.409852
406447,BOCOMBRA PRIMARY SCHOOL KITCHEN,5,0,0,0,2014-01-19,54.430533,-6.409852
406448,BOOTS,Exempt,nan,nan,nan,2012-06-01,54.460898,-6.329822
406449,BOOTS PHARMACY,Exempt,nan,nan,nan,2012-03-15,54.418726,-6.443586
406450,BOOTS THE CHEMIST,Exempt,nan,nan,nan,2015-01-16,54.449405,-6.38991
406451,BOOTS THE CHEMIST LTD,Exempt,nan,nan,nan,2012-10-31,54.422456,-6.446464
406452,BOOTS THE CHEMISTS LTD,Exempt,nan,nan,nan,2013-06-24,,
406453,BREENS SHOP - PIER RAMPART,5,5,5,5,2013-07-03,54.503456,-6.446186
406454,BRIDGE FILLING STATION,5,0,0,0,2014-11-06,54.429298,-6.431535
406455,BRIGHT STARS (NI) LTD,5,nan,nan,nan,2014-11-03,54.410862,-6.455975
406456,BROWNLOW COLLEGE MEALS KITCHEN,5,5,0,0,2012-05-31,54.448381,-6.363818
406457,BROWNLOW COMMUNITY HUB,4,0,5,10,2012-08-23,54.446552,-6.364076
406458,BROWNLOW HOUSE,5,0,0,0,2014-03-25,54.464499,-6.327701
406459,BUNKER 43 BRASSERIE,4,nan,nan,nan,2014-07-30,54.468282,-6.325835
406460,Burger Bites,4,10,5,5,2014-08-08,,
406461,BURGER STOP,5,5,5,0,2014-05-27,54.463085,-6.334622
406462,BUSBY'S,5,5,5,0,2014-04-09,54.431001,-6.450025
406463,BUSY BEES,5,5,0,0,2014-05-12,54.434948,-6.300023
406464,Buttered Up,3,nan,nan,nan,2014-07-01,54.461935,-6.33069
406465,Butterfly Kisses - Home Baking,5,0,5,0,2014-10-30,,
406466,BYRNE BUTCHERS,5,5,0,5,2012-03-15,54.463085,-6.334622
406467,BY-WAYS B&B,5,0,0,5,2014-10-20,54.446672,-6.432783
406468,C MALLON,5,5,5,0,2014-05-27,54.463079,-6.33746
406469,C MALLON BUTCHER,5,5,5,5,2014-10-22,54.423599,-6.442446
406470,C MALLON BUTCHER,5,5,0,5,2013-05-29,54.43366,-6.45071
406471,C MALLON BUTCHER,5,0,5,0,2014-02-05,,
406472,C MCKEEVER & SONS,5,5,0,0,2014-09-18,54.423461,-6.444254
406473,Cafe Alana,4,5,10,0,2013-08-13,54.460376,-6.336213
406474,CAFE EDEN,5,5,5,0,2013-11-22,54.426938,-6.431795
406475,CAFE PORTUGUES,4,0,0,10,2013-04-30,54.421179,-6.445665
406476,CAFE RHEMA - JETHRO CENTRE,5,0,5,5,2014-09-11,54.457172,-6.322834
406477,CAFE VIBE,5,5,5,5,2013-07-30,54.466207,-6.33758
406478,CAFOLLA BROS,3,10,10,5,2014-04-09,54.46186,-6.333099
406479,CAFOLLA BROTHERS,5,5,0,5,2014-03-31,54.463629,-6.33369
406480,Cakes Come True,Exempt,nan,nan,nan,2014-10-01,,
406481,CAM HING,4,10,5,5,2013-07-31,54.421905,-6.45043
406482,CAMPBELL CATERING - TESCO,5,5,0,0,2014-08-15,54.445863,-6.391714
406483,CAMPBELLS PHARMACY,Exempt,nan,nan,nan,2006-02-07,54.464337,-6.334864
406484,CARLETON STREET SOCIAL CLUB,4,0,5,10,2008-10-10,54.412852,-6.440235
406485,CARN RESTAURANT,4,10,5,5,2015-01-06,,
406486,CARRICK PRIMARY SCHOOL,5,0,0,5,2014-06-20,54.458023,-6.34223
