,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
66191,1220 Catering,4,10,10,0,2014-03-22,53.304021,-1.489814
66192,3,3,10,10,10,2010-11-12,53.302555,-1.47106
66193,A B M News,3,10,10,10,2013-05-13,53.12101,-1.409067
66194,Abundant Life Christian Centre,5,5,5,5,2012-07-18,53.18511,-1.361766
66195,Adastra Service Station,4,5,5,10,2013-05-30,53.114044,-1.396494
66196,Akhtars,5,5,5,5,2014-06-17,53.32496,-1.321112
66197,Aldi,5,0,0,5,2013-07-03,53.324522,-1.31675
66198,Aldi,5,5,0,5,2013-04-09,53.305946,-1.4757
66199,Alma Convenience Store,Exempt,nan,nan,nan,2003-02-04,53.18487,-1.38281
66200,Amber Hotel,5,5,5,5,2014-03-04,53.108029,-1.4236
66201,Amberley Core Unit,5,5,5,5,2011-09-23,53.303735,-1.371495
66202,Amberley House Nursing Home,5,5,0,0,2013-07-19,53.303735,-1.371495
66203,Amberley Nursing Home,5,5,5,5,2015-01-07,53.234583,-1.388732
66204,AMC Catering,5,5,5,5,2013-11-25,53.302555,-1.47106
66205,Amy's Cupcakes And Cakes,5,5,5,5,2013-02-18,,
66206,Anaarkali,5,nan,nan,nan,2014-11-27,53.188476,-1.354189
66207,Ananda Foods,5,5,5,5,2013-04-19,,
66208,Andrassy Fine Wines Ltd,Exempt,nan,nan,nan,2013-03-01,53.160703,-1.47777
66209,Ankerbold Farm,3,10,5,10,2013-03-01,,
66210,April Park Nursing Home,4,5,10,5,2014-09-30,53.305815,-1.368703
66211,Arkwright Arms,5,5,5,5,2014-02-07,53.237277,-1.342562
66212,Arkwright Primary School,5,0,5,5,2014-06-10,53.235799,-1.361807
66213,Arkwright Town Miners Welfare,3,10,10,10,2013-07-09,53.234475,-1.361213
66214,Arkwright Town Post Office & Store,4,0,10,10,2014-06-10,53.234475,-1.361213
66215,Ash Green Specialist Learning Disability Services,5,5,5,5,2014-09-10,53.239306,-1.48065
66216,Ashgate Care Limited,5,5,5,5,2014-03-06,53.239306,-1.48065
66217,Ashgate Hospice,5,5,5,5,2014-03-12,53.240274,-1.479964
66218,Ashley Catering,5,5,5,5,2013-03-06,,
66219,Ashmore House,5,5,5,5,2013-02-07,,
66220,Ashover Cricket Club,5,0,0,0,1996-10-23,53.166116,-1.471556
66221,Ashover Post Office,Exempt,nan,nan,nan,2013-03-07,53.165852,-1.479308
66222,Ashover Primary School,3,10,5,10,2014-03-13,53.166063,-1.482386
66223,Ayesha's Restaurant,3,10,10,10,2013-10-16,53.301097,-1.466741
66224,B And B Church Villa,5,5,5,5,2014-09-19,53.202512,-1.375146
66225,Bakey Wakey Woo,5,5,5,5,2014-04-30,,
66226,Bam's Cupcakes And Bakes,5,0,0,0,2014-02-25,,
66227,Bargain Booze,5,5,5,5,2013-02-01,53.299979,-1.336919
66228,Barley Mow Inn,4,10,5,5,2014-05-15,53.203921,-1.443709
66229,Barlow Brewery,4,10,5,5,2013-05-21,53.26899,-1.485373
66230,Barlow Church Of England School,5,5,5,0,2009-05-21,53.272026,-1.489086
66231,Barlow Pre School,5,0,5,0,2013-11-11,53.272026,-1.489086
66232,Batemans Mill Hotel,5,5,5,5,2014-05-27,53.173084,-1.436882
66233,"Beaumanor Care Ltd, The Willow",5,5,5,5,2014-06-23,53.169167,-1.416738
66234,Beer Shop At Dronfield,5,5,5,5,2015-01-23,53.299586,-1.458552
66235,Bee's,3,5,10,10,2013-10-03,,
66236,Berry Bank Farm,3,10,10,10,2013-02-07,,
66237,Best One,3,10,10,10,2013-11-21,53.181833,-1.388136
66238,Bestwood Working Mens Club,5,5,5,5,2014-12-23,53.164006,-1.40921
66239,Bilal's Balti House,3,10,10,10,2014-06-30,53.310256,-1.35546
66240,Birk Hill Infant School,5,5,0,0,2013-01-11,53.303287,-1.373437
66241,Blacksmith Arms,4,5,5,10,2013-03-01,53.238762,-1.385107
66242,Boot And Shoe Inn,2,10,15,10,2014-03-12,53.194498,-1.391623
66243,Bridge Inn,3,10,10,10,2012-10-24,53.302555,-1.47106
66244,Bridge Street Cafe,5,5,5,0,2014-08-15,53.324304,-1.31788
66245,Bridge Street Methodist Church,Exempt,nan,nan,nan,2011-08-10,,
66246,Bridies Pantry,3,10,10,10,2014-02-19,53.324304,-1.31788
66247,Britannia Inn,4,10,5,5,2013-03-01,53.189922,-1.405846
66248,Brobot Petroleum Ltd,4,10,5,5,2013-03-22,53.149654,-1.413609
66249,Brookview Nursing Home,3,10,10,5,2014-03-28,53.30978,-1.470745
66250,Broom Cottage,4,5,0,10,2012-11-02,53.129613,-1.392898
66251,"Brown's Fish, Dronfield Market",Exempt,nan,nan,nan,2012-09-27,,
66252,Bulls Head,5,5,5,5,2014-03-27,53.218093,-1.495463
66253,Butchers Arms,4,5,5,10,2013-08-22,53.30791,-1.391393
66254,Butler's Bakery,5,5,5,5,2014-02-19,53.305164,-1.467561
66255,Butler's The Family Bakers,4,10,5,5,2013-08-20,53.301669,-1.494764
66256,C E M Catering,4,5,5,10,2013-09-24,,
66257,C G Haslam And Co,5,5,5,5,2013-06-21,53.27077,-1.524353
66258,Cafe,5,0,0,5,2012-10-25,53.164321,-1.396851
66259,Cafe @ Climax,5,nan,nan,nan,2013-09-04,53.30814,-1.482081
66260,Cakes And All Things Nice,5,5,0,5,2012-07-31,,
66261,Cakes By Laura Davis,5,0,5,5,2013-03-27,,
66262,Cakes From My Kitchen,5,5,0,0,2014-05-14,,
66263,Callywhite Cafe,5,5,5,5,2013-09-18,53.299714,-1.453044
66264,Calow C Of E (v.c) Primary School,5,0,5,0,2012-07-03,53.236401,-1.389201
66265,Calow Pharmacy,Exempt,nan,nan,nan,2013-03-01,53.236245,-1.386866
66266,Calow Post Office,Exempt,nan,nan,nan,2013-02-22,53.233857,-1.385537
66267,Camms Endowed Church Of England Primary School,5,5,5,5,2013-06-26,53.312121,-1.357923
66268,Cannon Health & Safety Ltd,5,0,5,0,2014-06-27,53.23321,-1.373666
66269,Carpenter House,4,5,10,5,2013-03-15,53.284318,-1.529482
66270,Caspian Fish Bar,1,15,10,20,2014-06-30,53.155466,-1.367201
66271,Catholic Church Of The Holy Spirit,Exempt,nan,nan,nan,2013-07-25,53.304776,-1.457346
66272,CBS Dronfield Ltd The Victoria Inn,3,10,10,10,2013-01-15,53.303344,-1.478913
66273,Central England Co-operative Ltd,4,5,5,10,2013-03-01,53.183122,-1.381982
66274,Central England Co-operative Society,5,5,5,5,2011-07-20,53.301367,-1.474916
66275,Central England Co-operative Society,5,5,5,5,2013-04-29,53.301669,-1.494764
66276,Charlie's Bar And Restaurant,4,10,5,5,2014-07-30,53.163675,-1.413208
66277,Chatterbox Children's Day Nursery,5,5,5,5,2014-08-01,53.169167,-1.416738
66278,Chesterfield Child Care Ltd,4,5,10,0,2013-05-24,53.202011,-1.442836
66279,Chesterfield Motorcycle Centre,5,5,5,5,2013-08-23,53.171353,-1.415348
66280,Chicago Pizza Takeaway,5,5,5,5,2013-03-28,53.324522,-1.31675
66281,China Rose,2,10,15,10,2013-12-19,53.198852,-1.395873
66282,Chinese Dragon,1,15,10,20,2014-12-02,53.31827,-1.317556
66283,Choco House,3,10,10,5,2014-02-13,,
66284,Chocolate Combine Crafts,5,0,5,0,2013-04-23,,
66285,Choice Fruit & Veg,3,10,10,10,2013-01-31,53.309023,-1.36852
66286,Chubby Pizza And Kebab House,2,10,15,10,2014-03-27,53.167145,-1.415165
66287,Chuckles Play Centre,4,10,5,5,2013-07-31,53.169798,-1.411599
66288,City Players,Exempt,nan,nan,nan,2013-05-31,53.308759,-1.359475
66289,Clay Cross Adult Community Education Centre,5,5,5,5,2014-09-24,53.166603,-1.414544
66290,Clay Cross Brotherhood,Exempt,nan,nan,nan,2013-02-07,53.166373,-1.411735
66291,Clay Cross Charcoal Grill,3,10,10,10,2013-11-21,53.16678,-1.415739
66292,Clay Cross Coronation Club,5,5,5,5,2013-01-31,53.16936,-1.404948
66293,Clay Cross Fish Bar,4,10,5,5,2013-07-31,53.169167,-1.416738
66294,Clay Cross Foodbank,3,10,5,10,2012-06-26,53.189528,-1.345897
66295,Clay Cross Kebab And Curry House,3,10,10,10,2013-11-20,53.167145,-1.415165
66296,Clay Cross Parish Council,5,5,5,5,2014-09-09,53.166603,-1.414544
66297,Clay Cross Post Office,5,5,5,5,2011-08-10,53.166603,-1.414544
66298,Clay Cross Resource Centre,3,10,10,5,2013-03-07,53.16908,-1.406373
66299,Clay Cross Sunflowers Pre-School,4,10,5,5,2006-12-07,,
66300,Clay Spice,3,10,10,10,2013-11-28,53.167706,-1.415846
66301,Claydon Lodge,5,5,5,5,2014-05-15,53.180074,-1.39057
66302,Clowns,5,5,5,5,2014-11-12,53.18511,-1.38577
66303,Clowns Nursery,5,5,5,5,2014-06-10,53.158912,-1.415367
66304,Club Sandwich,5,5,5,5,2014-06-04,53.183559,-1.388216
66305,Coach And Horses Inn,2,15,10,10,2014-03-28,53.310571,-1.476709
66306,Coal Aston Village Hall,Exempt,nan,nan,nan,2008-01-22,53.311302,-1.453241
66307,Cob Shop Catering,5,5,5,5,2014-11-11,53.190176,-1.350975
66308,Cobs R Us,3,5,10,10,2014-03-24,53.167145,-1.415165
66309,Coffee Central,5,5,5,0,2014-07-23,53.301952,-1.475059
66310,Coffee Rush,5,5,5,5,2011-01-14,53.169999,-1.410474
66311,Commercial Inn,3,10,10,10,2013-06-06,53.157144,-1.368268
66312,Company Shop,5,5,5,5,2013-06-13,53.304177,-1.482174
66313,Contact Club,4,10,5,0,2013-05-17,53.303329,-1.471245
66314,Co-Op Late Shop,5,5,5,5,2012-10-11,53.305164,-1.467561
66315,Co-Op Late Shop,4,10,5,5,2013-06-27,53.304674,-1.464566
66316,Co-operative Service Station,4,10,5,5,2013-06-13,53.23625,-1.333993
66317,Cooplands,5,5,5,5,2014-10-22,53.301367,-1.474916
66318,Corner Cuts,3,10,10,10,2014-06-11,53.155466,-1.367201
66319,Corner View,4,5,10,5,2011-11-03,,
66320,Costcutter,4,10,5,5,2013-06-06,53.188476,-1.354189
66321,Cream Catering Ltd,4,5,5,10,2013-03-13,,
66322,Crich Lane Farm Bed And Breakfast,4,10,0,5,2013-03-01,,
66323,Croft Farm Meats Ltd,5,5,5,5,2013-04-25,53.166603,-1.414544
66324,Cross Daggers,5,5,5,5,2013-03-07,53.311007,-1.459639
66325,Crown Inn,5,5,0,0,2013-03-05,53.12688,-1.418237
66326,Cupcakes And Catering,5,5,5,5,2014-08-07,,
66327,Cupcakes By Lindsey Jane,4,5,5,10,2011-01-07,,
66328,Cutthorpe Primary School,5,0,5,5,2013-11-12,53.255714,-1.493747
66329,D And T Newsagents,3,10,5,10,2013-07-26,53.188265,-1.353414
66330,D S McCall Butchers,5,5,5,5,2014-09-03,53.310558,-1.449889
66331,Danesmoor Costcutter,3,5,10,10,2014-02-27,53.164192,-1.40321
66332,Danesmoor Post Office,1,5,15,20,2013-09-24,53.164321,-1.396851
66333,David J Fruits,5,0,0,5,2013-02-07,53.310558,-1.449889
66334,Deer Park Primary School,5,5,5,5,2014-03-10,53.199985,-1.441889
66335,Delicious,5,5,5,0,2013-11-06,53.309962,-1.35593
66336,Deli-Licious Bakery And Catering Service Ltd,4,5,10,5,2014-09-23,53.304674,-1.464566
66337,Delizia Market Deli,5,0,0,0,2014-03-27,,
66338,Derbyshire Community Health Service,5,0,0,0,2014-08-28,53.167942,-1.407241
66339,Devonshire Arms,5,5,5,5,2014-06-27,53.295983,-1.395209
66340,Discount UK,5,5,5,5,2012-03-05,53.168799,-1.409518
66341,Dolly's Fruit And Veg,5,5,5,5,2012-03-09,53.307807,-1.364741
66342,Dong Fang Garden,3,10,10,10,2014-09-03,53.308702,-1.372457
66343,Dragon Inn,3,5,10,10,2014-03-25,53.309373,-1.356629
66344,Dronfield Baptist Church,5,5,5,5,2014-11-05,,
66345,Dronfield Baptist Church Office,Exempt,nan,nan,nan,2013-03-01,,
66346,Dronfield Cooked Meats Ltd,5,5,5,5,2014-12-04,53.300833,-1.455926
66347,Dronfield County Infants School,5,5,5,5,2013-10-09,53.299216,-1.470156
66348,Dronfield County Junior School,5,5,0,0,2013-09-13,53.299216,-1.470156
66349,Dronfield Delicatessan,5,5,5,5,2014-09-03,53.301097,-1.466741
66350,Dronfield Masala,3,10,10,10,2014-01-15,53.304674,-1.464566
66351,Dronfield Nursery Limited,5,5,5,0,2014-09-15,53.296362,-1.457108
66352,Dronfield Pioneer Social Club Ltd,3,10,10,5,2013-02-01,53.304776,-1.457346
66353,Dronfield Sports Centre,Exempt,nan,nan,nan,2013-06-05,53.301367,-1.474916
66354,Dronfield Woodhouse Sports And Social,1,15,10,20,2014-11-28,53.302949,-1.502102
66355,Eastwood Grange,5,5,0,5,2013-06-04,53.166517,-1.471103
66356,Ebenezer Gospel Hall,5,0,5,5,2013-04-24,53.324315,-1.315057
66357,Eckington Charcoal Grill,3,10,10,10,2013-12-18,53.308644,-1.354854
66358,Eckington Children's Centre,4,5,5,10,2014-04-16,53.308466,-1.355262
66359,Eckington Court Nursing Home,5,5,5,5,2014-10-28,53.311579,-1.352333
66360,Eckington Junior School,5,0,0,0,2014-10-23,53.308976,-1.363028
66361,Eckington Miners Welfare Social Club Limited,3,10,10,10,2013-02-07,53.305912,-1.36504
66362,Eckington News,1,5,10,20,2013-06-05,53.309031,-1.353302
66363,Eckington Parish Council,4,10,5,5,2014-06-12,53.309219,-1.356406
66364,Eckington Swimming Pool,Exempt,nan,nan,nan,2011-06-22,53.307864,-1.356877
66365,Eden Food Service,5,5,5,5,2014-03-25,53.182273,-1.409528
66366,Elgin House,5,5,5,5,2014-01-30,53.177589,-1.391443
66367,Elm Tree Inn,5,5,5,5,2014-09-10,53.199535,-1.334951
66368,Emma's Cupcakes,4,5,5,10,2013-06-17,,
66369,Enable Care And Home Support Ltd,5,5,5,5,2012-11-30,53.189331,-1.354266
66370,Enable Care And Support Ltd,5,5,5,5,2012-11-30,53.189331,-1.354266
66371,Enable Care Home Support,5,5,5,5,2013-06-06,53.303735,-1.371495
66372,Enable Care Ltd,5,5,0,5,2012-10-25,53.301912,-1.373547
66373,Enable Care Ltd,5,5,5,5,2012-10-05,53.301912,-1.373547
66374,Everest Tandoori,1,10,20,20,2014-09-23,53.324304,-1.31788
66375,Express Pizza,4,5,5,10,2014-06-11,53.324304,-1.31788
66376,Fab Foods,5,5,5,5,2015-01-20,,
66377,Farm Shop,3,10,10,10,2013-09-17,53.311507,-1.510993
66378,Farm Shop,5,5,5,5,2012-06-28,53.134741,-1.494033
66379,Fat Sam's,2,15,10,5,2014-06-30,53.301097,-1.466741
66380,Ferndale @ The Forge,4,5,10,5,2013-11-26,53.301486,-1.471193
66381,Ferndale Garden Centre,5,5,5,5,2013-10-09,53.313181,-1.459281
66382,Fishers And Sons,4,10,5,5,2013-03-28,53.302273,-1.47435
66383,Fleur De Lys Hotel,3,10,10,10,2014-06-17,53.291544,-1.443442
66384,Food For Thought,4,0,10,10,2013-06-13,53.167706,-1.415846
66385,Fox And Goose Inn,3,10,10,10,2014-12-03,53.243082,-1.528346
66386,Fox's Family Milk Round Ltd,3,10,10,5,2013-06-13,53.173772,-1.428585
66387,French & Siddall,1,5,5,20,2014-05-07,53.305815,-1.368703
66388,Friends Of Clay Cross Hospital,5,0,5,5,2012-11-08,53.167942,-1.407241
66389,Frutura,3,5,10,10,2013-02-22,53.206497,-1.444769
66390,Fulton Foods,5,0,5,5,2013-01-17,53.169361,-1.410603
66391,Fulton's Foods,5,5,5,5,2013-02-15,53.324522,-1.31675
66392,G And E Wallage Ltd - Convenience Store,5,5,5,5,2014-09-17,53.188476,-1.354189
66393,Gardeners Inn Limited,3,10,10,10,2013-06-21,53.166603,-1.414544
66394,Gate Inn,4,5,10,5,2013-03-01,53.311078,-1.413696
66395,Gaunt's Mobile Snack Bar,5,5,5,5,2011-05-04,53.307807,-1.364741
