,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
448168,101,Pass,nan,nan,nan,2014-11-12,56.3967,-3.435873
448169,2-0-8 Public House,Pass,nan,nan,nan,2011-02-11,56.407256,-3.470563
448170,316 Cafe,Pass,nan,nan,nan,2014-02-28,56.396306,-3.429605
448171,63 Tay Street Restaurant,Pass,nan,nan,nan,2014-01-23,56.394018,-3.426181
448172,A Davidson Butchers,Pass,nan,nan,nan,2014-05-15,56.418875,-3.399796
448173,A K Bell Library,Pass,nan,nan,nan,2014-11-05,56.395679,-3.437163
448174,A Touch of Poland,Pass,nan,nan,nan,2014-06-05,56.395067,-3.431859
448175,A1 Pizza Plus,Pass,nan,nan,nan,2014-02-24,56.395215,-3.435331
448176,Abbeyfield Atholl Society Ltd,Pass,nan,nan,nan,2011-11-23,56.704776,-3.739779
448177,Abbeyfield Breadalbane Society,Pass,nan,nan,nan,2010-11-16,56.61979,-3.870002
448178,Abbeyfield House,Pass,nan,nan,nan,2007-05-30,56.375125,-3.848992
448179,ABC Nursery,Pass,nan,nan,nan,2011-04-18,56.400216,-3.432587
448180,Abdara Homemade,Pass,nan,nan,nan,2011-06-17,56.388207,-3.443086
448181,Aberfeldy Bowling Club,Pass,nan,nan,nan,2007-06-29,56.621187,-3.869125
448182,Aberfeldy Cottage Hospital,Pass,nan,nan,nan,2014-05-05,56.618286,-3.86067
448183,Aberfeldy Farmfresh,Pass,nan,nan,nan,2015-02-11,56.620144,-3.863793
448184,Aberfeldy Golf Club,Pass,nan,nan,nan,2014-06-16,56.61979,-3.870002
448185,Abernethy Primary School,Pass,nan,nan,nan,2011-12-01,56.333376,-3.309887
448186,Abernyte Primary School,Pass,nan,nan,nan,2011-06-03,56.468063,-3.205072
448187,Aberuthven Primary School,Pass,nan,nan,nan,2013-09-18,56.320756,-3.652203
448188,Acarsaid Hotel Ltd,Pass,nan,nan,nan,2014-06-11,56.702136,-3.729987
448189,Achray House Hotel,Pass,nan,nan,nan,2014-04-10,56.392341,-4.117041
448190,Active Kid Toys,Pass,nan,nan,nan,2008-10-01,56.4794387817,-3.45714974403
