,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
279018,@ The Well,4,10,0,10,2014-01-14,51.465029,-2.590469
279019,100% Discount,5,0,0,5,2011-03-02,51.470252,-2.563384
279020,101,AwaitingInspection,nan,nan,nan,,,
279021,102 Cookery School,5,0,0,0,2012-09-05,51.474337,-2.59187
279022,1625 Independent People,5,0,5,5,2012-05-02,51.456014,-2.58081
279023,168 Oriental,4,0,0,10,2014-05-02,51.456537,-2.594864
279024,180 Degrees C Limited,5,0,0,0,2012-08-22,,
279025,18th Bristol Scouts,Exempt,nan,nan,nan,,,
279026,2 The Glen,4,0,0,10,2014-03-10,51.476071,-2.611533
279027,26th Bristol Scout Group,Exempt,nan,nan,nan,2010-12-01,51.4806251526,-2.63516688347
279028,3 B's,5,5,5,5,2011-12-13,51.485112,-2.585904
279029,3663,AwaitingInspection,nan,nan,nan,,51.508566,-2.695569
279030,38 College Green,AwaitingInspection,nan,nan,nan,,51.452691,-2.599649
279031,43rd Scout Group,Exempt,nan,nan,nan,1995-03-23,51.480636,-2.632359
279032,4500 Miles From Delhi,4,5,0,10,2013-08-27,51.453929,-2.596687
279033,4A's Bakeshop,5,nan,nan,nan,2014-02-05,,
279034,7 Day Catering - Sainsburys,5,0,0,0,2013-08-16,51.445915,-2.551342
279035,7 Day Catering - Sainsburys,5,0,5,0,2011-11-16,51.464008,-2.610752
279036,7 Day Catering Limited - Sainsbury's,5,5,0,5,2011-01-10,51.456577,-2.606379
279037,7/12 Convenience,4,nan,nan,nan,2013-02-14,51.45358,-2.598208
279038,786 Foods Limited,AwaitingInspection,nan,nan,nan,,51.470317,-2.541918
279039,99p Store,5,0,0,0,2012-12-06,51.45676,-2.589873
279040,99p Stores,3,10,5,10,2006-04-12,51.434434,-2.568021
279041,9pb,4,5,5,10,2008-02-04,51.45276,-2.624332
279042,A & M Stores,5,5,5,5,2007-12-06,51.468886,-2.57988
279043,A & P News,4,10,0,10,2013-02-04,51.469573,-2.575353
