,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
82879,(King's Kitchen) KKs Cuisine,5,0,0,5,2009-02-26,,
82880,2PL Dragon,2,10,15,10,2013-05-15,51.571145,-0.294544
82881,7 Eleven,1,15,15,20,2012-07-19,51.563752,-0.278474
82882,99p,AwaitingInspection,nan,nan,nan,,51.546912,-0.274322
82883,99p Stores,3,10,5,10,2014-08-13,51.5533,-0.294245
82884,A Martin Fishmonger,4,10,5,5,2008-04-25,51.54767,-0.235236
82885,A P Food Express,3,10,10,10,2011-01-06,51.54722,-0.229816
82886,A Pousada,3,10,10,10,2011-08-12,51.536066,-0.244582
82887,A. F. G. Bazaar,4,10,0,10,2007-03-22,51.547948,-0.24835
82888,A1 Chicken Hut / 5 Star Pizza,2,15,15,10,2014-06-18,51.553433,-0.29225
82889,AA Accra Market,3,10,5,10,2014-09-25,51.547129,-0.25017
82890,Aachi Chettinad,4,10,5,5,2013-09-23,51.551905,-0.299779
82891,Abbey Corner,3,10,5,10,2014-10-25,51.537929,-0.294041
82892,Abbey Estate Comm Assoc Hall,5,5,5,5,2005-12-05,51.536183,-0.289637
82893,Abbey News,3,10,5,10,2007-01-25,51.552547,-0.299408
82894,Abbey Nursery School,5,0,0,0,2011-01-28,51.555745,-0.224494
82895,Abbey Point Cafe & Hotel,4,5,5,10,2014-07-19,51.534984,-0.275306
82896,Abby's Food and Wines,3,10,5,10,2014-09-09,51.571145,-0.294544
82897,Abira Food & Wine,3,10,10,10,2011-01-31,51.537231,-0.242475
82898,Ablegrange Ltd,3,10,5,10,2008-09-24,51.558365,-0.293825
82899,Abracadabra Nursery,4,10,5,5,2013-05-08,51.553054,-0.26216
82900,Abyssinia,3,5,10,10,2007-10-15,51.553129,-0.211542
82901,Accent Catering Limited,2,15,5,10,2012-01-25,51.548364,-0.252185
82902,Accuro Facilities Management,5,0,0,5,2014-09-01,51.542871,-0.235436
82903,Ace Cafe,5,5,5,5,2010-10-12,51.541325,-0.277835
82904,Ace Tech,5,5,5,5,2012-10-04,51.550686,-0.240875
82905,Acha Chinese Restaurant,0,25,25,20,2014-10-16,51.542042,-0.297406
82906,Acouge Cuiabano,3,5,10,10,2012-11-20,51.533787,-0.241887
82907,Addaction,5,5,5,0,2008-12-04,51.547414,-0.246972
82908,Adelphi Hotel,4,10,5,5,2014-09-20,51.566036,-0.266874
