,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
443297,1629/Caverna Restaurant,Pass,nan,nan,nan,2014-12-03,57.719275,-3.283038
443298,A And E MacWhirter,Improvement Required,nan,nan,nan,2010-07-23,57.670696,-2.979398
443299,A And K McKenzie,Pass,nan,nan,nan,2010-11-02,57.653104,-3.299821
443300,A Taste Of Speyside,Pass,nan,nan,nan,2013-05-17,57.445469,-3.128373
443301,Aanside Studios,Improvement Required,nan,nan,nan,2012-06-22,57.249605,-3.37609
443302,Abbey Inn,Improvement Required,nan,nan,nan,2012-12-03,57.635831,-3.571071
443303,Abbeyside Nursing Home Ltd,Pass,nan,nan,nan,2014-10-07,57.646762,-3.308491
443304,Abbeyvale Nursing Home,Pass,nan,nan,nan,2014-07-17,57.645127,-3.308532
443305,Aberlour And Craigellachie Playgroup,Pass,nan,nan,nan,2014-02-06,57.469266,-3.225609
443306,Aberlour Child Care Trust,Improvement Required,nan,nan,nan,2013-12-10,57.65781,-3.319011
443307,Aberlour Filling Station,Pass,nan,nan,nan,2013-10-23,57.469749,-3.226693
443308,Aberlour Gardens Caravan Site,Pass,nan,nan,nan,2008-10-02,57.47334,-3.200867
443309,Aberlour High Street Shop,Pass,nan,nan,nan,2011-07-14,57.470325,-3.225645
443310,Aberlour Nursery,Pass,nan,nan,nan,2014-02-06,57.469266,-3.225609
443311,Aberlour Primary School,Pass,nan,nan,nan,2013-01-15,57.469266,-3.225609
443312,Aberlour Takeaway,Pass,nan,nan,nan,2014-02-25,57.471309,-3.224294
443313,Action For Children,Improvement Required,nan,nan,nan,2010-01-26,57.674424,-2.980571
443314,Adolfos Fish And Chip Bar,Pass,nan,nan,nan,2010-08-06,57.638129,-3.316354
443315,Airfield Buffet 15 Sq Ground Crew Feeder,Pass,nan,nan,nan,2014-01-20,57.710361,-3.307932
443316,Akash Tandoori,Improvement Required,nan,nan,nan,2014-10-01,57.648026,-3.314853
443317,Al Bahar Restaurant,Improvement Required,nan,nan,nan,2014-03-25,57.648121,-3.317772
443318,Aldi Stores Limited,Pass,nan,nan,nan,2013-08-19,57.649935,-3.317838
443319,Alison's Cakes,Pass,nan,nan,nan,2013-11-06,,
