,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
170053,1539 Restaurant And Bar,5,5,0,5,2013-04-11,53.188891,-2.897618
170054,1st Tarporley Scout Group,5,5,5,5,2014-01-06,53.153632,-2.662016
170055,32 Wealstone Lane,5,0,0,0,2012-08-03,53.2137985229,-2.88430166245
170056,3L Care,5,0,0,5,2014-01-10,53.194369,-2.5128
170057,4 Seasons 4 Food,5,5,0,0,2013-04-17,53.295511,-2.727297
170058,46,3,10,5,10,2012-11-14,53.187792,-2.89071
170059,99P Stores,1,15,15,20,2014-04-25,53.196463,-2.91017
170060,A & R Bargains,5,5,5,5,2011-10-31,53.249435,-2.533496
170061,A And B Hallmark,4,10,5,5,2008-07-10,53.224728,-2.941516
170062,A Catered Affair,5,0,0,0,2013-04-30,,
170063,A Chatwin Ltd,4,0,10,5,2014-07-31,53.208364,-2.925396
170064,A Chatwin Ltd,5,0,0,5,2014-08-06,53.265846,-2.922424
170065,A Taste Of Thai,5,0,0,5,2013-10-22,,
170066,A&O Discounts,4,0,10,5,2013-08-06,53.290351,-3.064719
170067,Aaron Court Care Home,5,0,5,0,2012-10-22,53.282668,-2.909047
170068,Abbeyfield,4,0,0,10,2013-10-22,53.190823,-2.867365
170069,Abbeyfield House,5,5,5,5,2014-08-20,53.185694,-2.882735
170070,Abbeyfield House,5,0,5,5,2013-10-24,53.272145,-2.911073
170071,Abbeygate College,5,0,0,5,2014-01-22,,
170072,Abbeywood Estate,4,5,5,10,2013-09-24,53.209469,-2.654447
170073,Abbies Pizza & Grill,2,15,10,10,2014-12-05,53.249435,-2.533496
170074,ABC Boat Hire,Exempt,nan,nan,nan,2013-10-04,53.276441,-2.52443
170075,Abode Chester Hotel,3,5,10,10,2014-08-12,53.224728,-2.941516
170076,Acorn Child Care Nursery,5,5,5,5,2014-10-13,53.248256,-2.533631
170077,Acresfield CP School,5,0,0,0,2013-06-14,53.223652,-2.875892
170078,Acton Bridge Garden Centre,4,0,5,10,2012-02-18,53.265937,-2.599865
170079,Acton Bridge Parish Rooms,5,0,0,0,2013-10-04,53.26956,-2.603379
170080,Ada Fast Food,5,0,0,0,2013-04-11,53.274841,-2.894574
170081,Adams Chippy,5,5,5,5,2014-12-03,53.187792,-2.89071
170082,After Five,4,5,5,10,2014-10-01,53.261995,-2.499547
170083,Age UK Cheshire,5,5,5,5,2014-01-09,53.258321,-2.52001
170084,Agra Fort,3,10,10,10,2014-08-12,53.280491,-2.897422
170085,Ahmed Indian Takeaway,4,10,5,5,2014-09-24,53.195562,-2.885363
170086,Al Dente,4,5,10,5,2014-08-06,53.17174,-2.90459
170087,Alan Pickup Butchers,3,5,10,10,2012-11-13,53.294522,-2.72443
170088,Albion Inn,5,0,0,0,2013-09-24,53.187925,-2.888543
170089,Aldersey Green Golf Club,5,0,5,5,2014-03-27,53.104267,-2.8058
170090,Aldford Village Stores,5,5,5,5,2011-05-15,53.127074,-2.869518
170091,Aldi,5,0,0,0,2011-03-30,53.292453,-3.063856
170092,Aldi,5,0,0,0,2014-01-13,53.193431,-2.863421
170093,Aldi Stores,5,0,0,0,2013-06-13,53.278786,-2.897116
170094,Aldi Stores Ltd,5,0,5,5,2009-02-09,53.196663,-2.90989
170095,Aldi Stores Ltd,5,5,5,5,2008-06-30,53.263944,-2.504397
170096,Aldi Stores Ltd,5,0,0,5,2010-11-05,53.190891,-2.531272
170097,Alexanders Jazz Theatre Ltd,3,10,10,10,2014-06-17,53.193673,-2.892883
170098,Alexandra Lodge,5,5,5,5,2011-05-15,53.199932,-2.87424
170099,Alfresco,5,5,5,5,2013-08-29,53.191238,-2.890258
170100,Ali Hassan Supermarkets,1,0,5,20,2013-08-23,53.267461,-2.887253
170101,Alice Primrose Cakes,5,5,5,5,2013-11-01,,
170102,Ali's Butty Bar,5,0,5,5,2014-09-15,53.262545,-2.505745
170103,Alisons Country Kitchen,5,5,5,5,2013-11-07,53.120414,-2.768716
170104,Alisons Country Kitchen,5,5,5,5,2012-03-05,,
170105,All That Glitters,5,0,0,0,2010-06-24,,
170106,Alvanley Arms,5,5,0,5,2013-11-29,53.18312,-2.643301
170107,Alvanley County Primary School,5,5,0,0,2012-01-23,53.260314,-2.754284
170108,Amakai,1,10,5,20,2013-07-16,53.195714,-2.885561
170109,Amore,2,15,10,10,2013-11-20,53.297121,-2.722719
170110,Anderton Boatlift,5,0,5,5,2013-11-07,53.273595,-2.529778
170111,Annes Newsagent,Exempt,nan,nan,nan,2013-10-04,53.196782,-2.874865
170112,Annie Trevor Jones,5,5,5,5,2014-06-02,,
170113,Antonia Naylor,5,0,0,0,2010-06-26,,
170114,Antonina's,4,10,0,5,2013-09-26,53.192844,-2.89315
170115,Antrobus Arms,3,10,5,10,2013-10-29,53.312385,-2.546979
170116,Antrobus Community Shop Ass Ltd,4,10,0,5,2010-08-13,53.311846,-2.535145
170117,Antrobus Golf Club House,0,10,15,30,2014-09-23,53.321172,-2.549808
170118,Antrobus St Marks School,5,0,0,0,2013-05-23,53.312327,-2.538183
170119,Ape Bars,5,0,0,5,2010-06-18,,
170120,Applegates,5,5,5,5,2013-07-16,53.128592,-2.807152
170121,Ardens,4,5,5,10,2014-03-14,53.224728,-2.941516
170122,Argos Ltd,Exempt,nan,nan,nan,2013-10-22,53.277622,-2.900091
170123,Artichoke,5,nan,nan,nan,2014-09-22,53.1934,-2.879945
170124,Asda,5,0,5,5,2013-12-03,53.18141,-2.923708
170125,Asda,5,0,5,5,2014-11-26,53.197695,-2.917142
170126,Asda Stores,5,0,0,0,2013-08-08,53.276702,-2.898107
170127,Asda Supermarket,5,0,0,0,2012-03-29,53.191301,-2.52785
170128,Ashgrove Farm Nursery,5,0,0,5,2014-01-17,53.178,-2.897106
170129,Ashton Hayes + Mouldsworth Community Shop,5,0,0,0,2014-08-01,53.216528,-2.741428
170130,Ashton Hayes CP,5,0,0,0,2014-03-18,53.220686,-2.740706
170131,Ashton House Nursery,5,0,0,0,2013-05-17,53.220686,-2.740706
170132,Astbury Lodge Old Peoples Home,5,0,0,0,2013-10-29,53.26457,-2.922351
170133,Aston By Sutton County Primary School,5,0,0,0,2013-04-30,53.300671,-2.66744
170134,Astons,5,5,5,5,2014-03-04,53.292342,-3.008314
170135,Atherton Lodge Nursing Home,4,10,5,5,2014-02-11,53.281049,-2.918611
170136,Avandale Lodge Care Home - HC-One,5,0,0,0,2013-09-26,53.271318,-2.463788
170137,Avenance,5,0,5,0,2014-01-22,53.26582,-2.777305
170138,B & M Bargains,2,15,0,0,2011-03-25,53.27763,-2.901321
170139,B&Q Cafe,5,5,5,5,2013-04-23,53.19528,-2.907331
170140,Ba-Ba Guest House,5,5,5,5,2011-05-15,53.200509,-2.87533
170141,Badgers Barn c/o,5,0,5,5,2013-11-06,53.278283,-2.75832
170142,Balti Cottage,5,5,5,5,2014-02-04,53.18934,-2.540292
170143,Bank Of America,5,5,5,5,2013-10-15,53.159275,-2.894696
170144,Bank Of Scotland,5,5,5,0,2014-03-21,53.161219,-2.906238
170145,Bar Lounge,3,10,10,10,2014-10-01,53.189814,-2.893237
170146,Barbour Institute,5,5,5,5,2014-01-09,53.120414,-2.768716
170147,Barcorp Uk,4,0,10,5,2014-07-23,53.247805,-2.485819
170148,Bargain Booze,4,0,5,10,2012-02-19,53.256971,-2.486342
170149,Bargain Booze,5,0,0,0,2013-09-17,53.192287,-2.532501
170150,Bargain Booze,3,10,5,10,2012-11-12,53.271318,-2.463788
170151,Bargain Booze,Exempt,nan,nan,nan,2013-10-04,53.236269,-2.512192
170152,Bargain Booze,Exempt,nan,nan,nan,2013-10-04,53.192166,-2.502626
170153,Barnabys,5,5,0,5,2013-07-10,53.228689,-2.603014
170154,Barnhills Of Broxton,4,10,5,5,2013-07-16,,
170155,Barnton C P School,5,0,0,0,2012-01-31,53.276633,-2.553585
170156,Barnton Cricket Club,5,5,0,0,2014-10-10,53.273748,-2.5477
170157,Barnton Cricket Club (Caterer),3,5,10,10,2013-03-22,53.273748,-2.5477
170158,Barnton Football Club,4,0,0,10,2012-03-17,53.273748,-2.5477
170159,Barnton Kebab House,5,5,5,5,2015-02-04,53.272573,-2.545285
170160,Barnton Memorial Hall,5,5,5,5,2010-10-07,53.273748,-2.5477
170161,Barnton Pizza,3,10,10,10,2014-03-26,53.246764,-2.602504
170162,Barnton Pre School,5,5,5,0,2013-05-08,53.276633,-2.553585
170163,Barrow C Of E Primary School,5,0,0,0,2014-10-16,53.211885,-2.799193
170164,Barrowmore House,5,5,0,5,2013-04-30,53.216536,-2.787883
170165,Barton Rouge,4,10,5,5,2013-12-16,53.224728,-2.941516
170166,Bawn Hotel,4,5,5,10,2013-10-23,53.199645,-2.877917
170167,Baxtor Storey Ltd,5,0,0,0,2012-09-20,53.263262,-2.508272
170168,Beach Road Cafe Bar,5,5,0,0,2012-09-05,53.264234,-2.886032
170169,Bear And Billet,5,5,0,0,2014-01-20,53.186744,-2.890165
170170,Bears Paw Hotel,5,5,5,5,2014-09-22,53.295975,-2.726405
170171,Beau And Co,5,5,5,5,2012-07-17,,
170172,Beechwood Farm Day Nursery,5,5,0,0,2014-02-17,53.247823,-2.628116
170173,Beeston Castel Cafe,4,0,5,10,2014-04-23,53.12488,-2.688144
170174,Beeston Outdoor Education Centre,5,0,0,0,2012-09-18,53.122944,-2.687246
170175,Belgrave Hotel,5,5,0,5,2014-03-17,53.193418,-2.881248
170176,Belgrave Primary School,5,0,0,0,2014-11-11,53.17174,-2.90459
170177,Bella Italia,5,nan,nan,nan,2014-04-17,53.190588,-2.890619
170178,Bella Italia,5,5,0,0,2013-04-10,53.264234,-2.886032
170179,Bellemonte Hotel,5,0,0,0,2012-03-17,53.286949,-2.720762
170180,Bellini's,5,5,0,0,2014-01-08,53.189444,-2.891029
170181,Belly Full,4,10,5,5,2014-02-07,53.193418,-2.881248
170182,Benison Nursery School,5,0,0,5,2014-09-22,53.152257,-2.901534
170183,Best Friends Day Nursery,5,0,5,5,2013-05-14,53.19858,-2.868644
170184,Best Local,5,5,5,5,2015-02-03,53.244923,-2.506511
170185,Betsy Bumbles British Baked Cakes,5,0,5,5,2014-01-07,,
170186,Bhajis,1,5,10,20,2013-10-28,53.208364,-2.925396
170187,Big 5 Catering,5,0,0,0,2013-09-13,,
170188,Bindis,3,10,10,10,2014-12-08,53.192517,-2.880271
170189,Birch Heath Lodge,5,0,0,0,2013-12-19,53.18535,-2.835723
170190,Bird In Hand,3,10,5,10,2014-04-10,53.207508,-2.826766
