,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
205398,"""The Cabin""",AwaitingInspection,nan,nan,nan,,,
205399,10 Delamere Road,Exempt,nan,nan,nan,2008-04-21,53.554011,-2.788058
205400,18 Gorse Lane,5,5,5,5,2013-12-06,,
205401,1st Class Nursery,5,5,5,5,2014-06-17,53.584339,-2.868471
205402,1st Class Nursery Ltd,5,5,5,5,2014-06-17,53.589305,-2.861638
205403,2 Crabtree Close,5,5,5,5,2014-10-31,,
205404,3G All Weather Football,5,5,5,5,2014-03-07,53.7050153,-2.84183899
205405,Aaron Crest Nursing Home,5,5,5,5,2014-03-03,53.549061,-2.759818
205406,Abbey Farm Caravan Park,AwaitingInspection,nan,nan,nan,,53.582275,-2.856752
205407,Abbey Wood Lodge Care Home,5,5,5,5,2015-01-07,53.56684,-2.893765
205408,Ace Cakes and Treats,AwaitingInspection,nan,nan,nan,,,
205409,Acorn Playgroup,Exempt,nan,nan,nan,2013-09-18,53.569558,-2.875099
205410,Age Concern Luncheon Club,5,0,0,5,2013-09-26,53.591799,-2.770027
205411,Age UK,5,5,5,5,2014-09-02,53.564669,-2.887212
205412,Age UK Lancashire,5,5,5,5,2014-07-14,,
205413,Age UK Luncheon Club,4,10,5,5,2014-08-05,53.704657,-2.851163
205414,Alan Baybutt & Sons Ltd,5,5,5,0,2014-01-07,53.693091,-2.872041
205415,Aldi Stores Ltd,3,5,10,10,2013-09-05,53.549885,-2.774307
205416,Aldi Stores Ltd,5,5,5,5,2008-11-12,53.567715,-2.887337
205417,All Round Care,3,5,10,10,2013-04-12,53.588393,-2.783788
205418,All Saints Church Hall,3,10,5,10,2013-05-07,53.702509,-2.83835
205419,Alma Green Residential Home,5,5,5,5,2014-11-18,53.8612060547,-2.56927990913
205420,Alpine Bar,3,10,10,10,2013-05-10,53.8612060547,-2.56927990913
205421,Alsley Lodge Residential Care Home,4,5,5,10,2014-10-20,53.634521,-2.808236
205422,Amelios Pizzeria,3,10,10,10,2013-02-28,53.698021,-2.83873
205423,Amigo's,5,5,5,5,2013-10-01,53.542626,-2.763868
205424,Annes Cakes & Sandwiches,5,5,5,5,2013-12-09,,
205425,Anukha Take-Away,3,10,10,10,2014-05-21,53.574062,-2.887168
205426,Appley Bridge All Saints C Of E Primary School,5,5,5,5,2014-09-22,53.586708,-2.726005
205427,Appley Bridge Community Centre,5,5,5,5,2014-10-16,53.580663,-2.720978
205428,Argos Ltd,Exempt,nan,nan,nan,2013-05-20,53.549885,-2.774307
205429,Argos Ltd,Exempt,nan,nan,nan,,53.567715,-2.887337
