,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
291339,@ Angelas,5,5,0,0,2014-02-20,50.71996,-3.536134
291340,"@34, Exeter College",5,5,5,0,2014-05-12,50.728231,-3.538403
291341,168 Oriental,4,5,5,10,2014-08-21,,
291342,7 Wok,4,10,5,5,2014-09-02,50.721111,-3.529967
291343,99p Stores,3,5,10,10,2014-10-27,50.724978,-3.532714
291344,99p Stores,4,10,5,5,2014-01-20,50.716734,-3.537912
291345,A Little More,5,5,0,5,2012-04-25,50.721521,-3.534358
291346,A Taste of Wales,5,0,5,5,2013-01-31,,
291347,Aaron Court Ltd,5,5,5,5,2014-06-24,50.732013,-3.498
291348,Abode Hotel,5,5,5,5,2013-05-29,50.723488,-3.530427
291349,Acorn Centre,5,5,0,5,2012-06-13,50.721348,-3.532482
291350,Acorns Day Nursery,5,0,5,0,2014-10-31,50.71292,-3.537349
291351,Afriteo,5,5,0,5,2013-10-22,50.721503,-3.531637
291352,Al Baraka Butchery,4,5,5,10,2014-05-21,50.728013,-3.522129
291353,Al Farid,5,5,5,5,2014-03-26,50.722434,-3.531951
291354,Aldi Foodstore Ltd,5,5,5,5,2013-04-05,50.736078,-3.482498
291355,Aldi Stores Ltd,5,0,5,0,2012-05-22,50.713029,-3.536602
291356,Alliance Healthcare,5,5,5,0,2013-05-16,50.700727,-3.51939
291357,Alphington Community Centre,5,5,5,5,2012-07-04,50.700412,-3.533796
291358,Alphington Lodge,5,0,0,0,2014-03-31,50.699954,-3.531728
291359,Alphington Post Office,4,0,5,10,2012-06-19,50.703059,-3.534251
291360,Alphington Pre-School,5,5,5,0,2012-06-20,50.700412,-3.533796
291361,Alphington Primary School,5,5,5,5,2014-09-11,50.700557,-3.539154
291362,Alphington Sports Club,3,10,5,10,2014-04-16,50.703059,-3.534251
291363,Andy's Cafe,3,10,5,10,2013-10-31,50.73233,-3.54874
291364,Anna Marie's,1,15,15,20,2014-06-18,50.721111,-3.502313
291365,Apetito Ltd,5,0,0,0,2012-10-18,50.697438,-3.526038
291366,Apple Blossom Cafe,5,5,5,0,2014-08-20,50.716553,-3.541477
291367,Aquasource (UK) Ltd,5,0,0,0,2012-05-09,50.698199,-3.525624
291368,Argee Bhajee,4,5,5,10,2015-01-28,50.715318,-3.547754
291369,Arobart Ltd,4,10,5,5,2014-05-20,50.721503,-3.531637
291370,Arthurs Butchery & Deli,5,5,5,5,2014-12-18,50.683124,-3.465569
291371,Artigiano Expresso & Wine Bar,5,5,5,0,2014-01-23,50.725508,-3.527942
291372,Asia Chinese Takeaway,5,0,5,5,2014-12-11,50.732986,-3.491498
291373,Ask,5,5,0,0,2014-11-14,50.722957,-3.529092
291374,Assisted Living SW Ltd,5,0,0,5,2012-06-13,50.715525,-3.536188
291375,Astridges,5,5,0,0,2013-10-25,50.733693,-3.527925
291376,ASU (Additional Support Unit),4,0,10,5,2014-01-21,50.730985,-3.484151
